x,y,label
32.498688,7.9296036,Suivre un marché sur une zone européenne
32.507164,7.9389505,Suivre un marché sur une zone mondiale
32.480354,7.9202976,Suivre un marché sur une zone nationale
32.515385,7.906083,Suivre un marché sur une zone régionale
33.31514,8.49716,Intervenir sur une zone européenne
33.285954,8.479802,Intervenir sur une zone mondiale
30.960783,8.436469,Coordonner l'administration des ventes et des achats
31.00195,8.816871,Centrales d'achat
31.989828,8.157558,Attribuer un marché
29.83942,8.037757,Principes de la relation fournisseur
30.437815,7.9564543,Contrôler la conformité d'un contrat
29.926428,7.6343384,"Evaluer des fournisseurs, sous-traitants, prestataires"
33.828808,12.861391,"Repérer des copies, des reproductions d'oeuvres d'art"
30.879208,8.349629,Process et procédures d'achats
30.963034,8.625139,Elaborer une stratégie d'achat
30.913822,8.473318,Traiter des ordres d'achat
30.971535,8.829722,Négocier des conditions d'achat
30.939041,8.548721,Définir des conditions d'achat
29.64008,6.980497,Sélectionner un produit auprès d'un producteur
30.030966,7.771565,Assurer les relations avec des fournisseurs et des prestataires
30.814688,8.1644125,Concevoir une procédure de gestion des achats
31.074701,7.0340786,Déployer un système de gestion des flux logistiques
30.958292,9.376251,E-procurement
30.788258,8.23362,Cahier des charges
29.63474,7.3227577,Evaluer un produit
30.743044,8.125886,Renseigner des supports de suivi des achats
29.888931,8.196722,Identifier les priorités du client
30.666788,7.619438,Management des ressources externes
30.967236,8.977652,Négociation achat
30.806248,8.0941725,Réaliser un diagnostic de la fonction achat
30.937727,8.934591,Négocier un contrat d'achat
31.140451,7.6443186,Calculer un coût total de possession (TCO)
47.850506,8.486217,"Techniques de publicité (choix de médias, supports, ...)"
49.51338,6.1942635,Mener une campagne d'e-mailing
49.044373,4.0989046,Marketing opérationnel
49.181736,3.7391784,Marketing digital
49.94401,3.4372115,Marketing viral
49.598206,3.1959686,Insights marketing
44.471825,4.782936,Mettre en place des solutions de suivi (tracking) pour analyser le trafic d'un site et les comportements de navigation des visiteurs
49.1985,4.5231357,Marketing des services
45.27645,4.132967,Outils de web analyse - web analytics
46.06277,6.8561482,Collecter des données clients
49.002033,4.230966,Marketing relationnel
49.07639,4.118385,Marketing direct
46.70492,4.0968275,Score d'appétence
49.82441,2.451321,Concevoir des modèles de détection des insights consommateurs
49.05538,4.3780375,Marketing automobile
47.35854,6.4356923,Coordonner des actions de promotion
49.07497,4.129986,Marketing international
48.748035,6.998191,Concevoir la campagne promotionnelle d'un produit
48.454517,7.073259,Mettre en oeuvre une campagne promotionnelle
48.782383,7.9416537,Concevoir une prémaquette publicitaire
47.864685,3.5672703,Marketing des réseaux sociaux
47.480247,6.444532,Définir des actions de promotion
45.812634,5.6378345,Concevoir l'identité visuelle de la marque
47.27163,8.371259,Déterminer les caractéristiques des supports publicitaires
47.38521,6.3808975,Organiser des actions de promotion
43.982315,7.042626,Participer à la fixation des prix
45.31118,7.156951,Élaborer un plan de diffusion
43.190273,5.27568,Évaluer l'impact d'une stratégie médiatique
49.724834,3.954039,Marketing promotionnel
49.24878,4.165201,Marketing ethnique
50.188213,3.9897726,Marketing sensoriel
49.86272,4.253254,Street marketing
49.183273,4.1614156,Buzz marketing
49.261673,4.097746,Guerilla marketing
49.231754,3.3659225,Marketing on line
49.084072,4.0172863,Marketing mobile
48.974724,3.8343744,Marketing alternatif
49.18212,3.984594,Marketing B2B
44.413567,8.849387,Concevoir des jeux concours en ligne
44.456524,4.5894804,Mettre en place des indicateurs de performance web
46.653347,6.6665606,Promouvoir une marque en ligne
46.41259,6.1427855,Organiser des évènements fédérateurs en ligne
47.679268,3.5070727,Alimenter des réseaux sociaux
45.826797,8.0625105,Définir une gamme de produits pour un marché
46.168236,7.2239323,Concevoir des programmes de fidélisation clients
45.304424,7.366819,Elaborer le plan média de mise sur le marché d'un produit
48.763702,7.8011765,Concevoir des campagnes publicitaires
46.26011,7.811704,Concevoir des supports de promotion des produits
44.575672,7.336876,"Définir la cible, les tarifs et garanties de nouveaux produits"
45.51312,7.8004684,Organiser le plan de lancement de nouveaux produits
44.756554,4.5909038,Analyser le trafic d'un site web
44.314556,9.010065,Animer des jeux en réseau
48.860504,6.843151,Adapter une campagne promotionnelle à une cible ou un produit
48.96667,6.738084,Analyser les résultats d'une campagne promotionnelle
48.400917,5.0797334,Cibler un panel de clients
45.939922,8.074245,Cibler une gamme de produits
49.5407,3.8751028,Marketing Mix
49.840534,4.7238035,Marketing après-vente
49.185055,4.4731555,Marketing téléphonique
46.496902,8.446809,Définir les caractéristiques d'un produit
45.744007,8.267906,Evaluer le coût d'un produit
47.18808,7.923274,Réaliser des supports de communication multimédia
45.68855,6.657485,Diffuser une information à un public ciblé
48.618435,8.021194,Réaliser la promotion d'un espace publicitaire
47.905907,5.6970787,Mesurer le Retour sur investissement (ROI) d'une action marketing
47.464333,6.9076724,Mettre en oeuvre une action de promotion
49.20438,5.6011133,Optimiser le ciblage d'une campagne de marketing
46.630165,4.0983386,Optimiser un score d'appétence
47.805378,8.706883,Réaliser une Publicité sur le Lieu de Vente (PLV)
46.738,7.1747637,Promouvoir un produit
46.961754,6.9739957,Promouvoir une oeuvre
47.774986,5.9075584,Réaliser le bilan des actions marketing
45.579773,6.98777,Sélectionner un support de diffusion
25.653574,13.403178,Principes de la relation client et fournisseur
45.980804,7.756709,Présenter un nouveau produit à différents intervenants
48.7764,7.7173176,Mettre en ligne une campagne publicitaire
48.766136,6.8993716,Apporter un appui technique lors du lancement d'une campagne promotionnelle
49.11082,4.0225735,Marketing de l'innovation
45.92524,7.911401,"Officialiser le lancement d'un projet, produit"
44.663715,4.789331,Réaliser un suivi statistique de l'activité d'un site web
47.069603,5.2334976,Organiser la présentation d'une collection
47.057674,5.161203,Diffuser une collection
44.9992,5.6107574,Analyser des échanges communautaires en ligne
45.429516,4.08745,Paramétrer un compte Google Analytics
49.149113,4.0118194,Marketing multicanal
49.127506,4.1315436,Marketing des achats
41.539974,11.78908,Gérer les opérations d'animation d'un magasin
41.47472,11.451107,Animer une vente
41.575108,11.458667,Animer des actions de promotions
41.558865,11.751098,Concevoir une opération d'animation en magasin
40.74704,11.614188,Effectuer une démonstration devant un client ou un public
