x,y,z,label
3.4416234,-1.400714,1.4011502,virtualWord
-18.074926,8.303255,-3.4718769,Médecines douces et alternatives ( Santé - médecine - pharmacie )
7.4879565,-6.0228353,18.60098,Génie mécanique ( Electricité - électronique - génie mécanique )
-3.3613894,7.769269,8.539303,Plonge ( Nettoyage - entretien )
-3.0446496,3.4680815,-9.801486,Stratégie commerciale ( Achat - vente )
16.255093,5.4691014,7.8213263,Opérations de finition industrielle ( Fabrication et transformation d'éléments )
20.99059,-0.021753743,11.177663,Menuiserie - ébénisterie ( Métiers d'art )
-15.575615,-5.3863425,-12.592371,Finance
29.709883,6.6176467,-2.405586,Arts de la table
16.22957,1.2298641,2.7957969,Traitement et transformation des viandes ( Agroalimentaire et métiers de bouche )
-13.934049,-16.851187,4.2900214,Licences - habilitations - certifications de soudage ( Fabrication et transformation d'éléments )
-17.848106,11.254843,10.193811,Pharmacie ( Santé - médecine - pharmacie )
19.7761,0.20371085,1.0000428,Poterie - céramique ( Métiers d'art )
3.324064,17.632769,-17.067196,Spectacle - Artistes - interprètes du spectacle
-6.462186,-13.765203,-12.137212,Réseau d'assainissement
11.295154,-22.162073,-4.5238056,Montage d'équipements sur véhicules ( Maintenance - entretien technique )
-5.233447,-1.1028191,-5.0825443,Organisation - planification des interventions ( Nettoyage - entretien )
-6.450154,14.811541,-5.9035096,Esthétique ( Soins esthétiques et corporels )
3.7936106,-1.0898266,-1.9066488,Traçage - marquage ( Fabrication et transformation d'éléments )
-1.4626824,22.344198,9.412297,Agriculture
12.277628,-22.84692,-4.212724,Véhicules industriels
6.536086,-4.4023995,8.602428,Combustibles
3.6939125,-17.30895,18.220875,Installation et Maintenance - Equipements domestiques et informatique
5.841346,8.794701,-15.054639,"Communication, Média et Multimédia - Images et sons"
-8.791596,10.163438,23.219412,Biologie médicale ( Santé - médecine - pharmacie )
-7.7077584,-0.8308653,0.08186902,Management RH ( Ressources Humaines )
1.3248197,-19.384111,0.2875735,"Construction, Bâtiment et Travaux publics - Conduite et encadrement de chantier - travaux"
18.062653,-10.6667185,-9.619899,Conduite et surveillance de machines de fabrication textile ( Fabrication et transformation d'éléments )
0.3292521,3.8800414,-5.2550206,Achats ( Achat - vente )
11.991683,-4.377224,12.549161,"Fonderie, forge"
18.329283,0.50513375,8.704489,Seconde transformation du bois
-8.388318,24.143389,-3.913528,Patrimoine culturel et historique
-20.714193,-0.76707387,-1.4792218,Conseil et expertise ( Conseil - expertise - aide à la décision )
-19.012362,-5.638034,7.028909,Collecte des déchets ( Environnement )
-10.742199,-9.711383,-6.900584,Gestion immobilière ( Immobilier )
-9.57086,-3.3499672,-0.40331593,Gestion d'entreprise ( Management et gestion d'entreprise )
-5.1176805,-3.3293958,-7.363219,Projet
18.697876,-1.3195434,-6.9732637,Essais - retouches - finitions de produits textiles ( Fabrication et transformation d'éléments )
-18.256826,7.7408385,-5.3936996,Actualisation et gestion de fonds documentaires ( Information - documentation - communication )
-14.92418,15.808703,16.13354,Orthophonie ( Santé - médecine - pharmacie )
0.36697835,14.412748,-20.489176,Présentation - animation audiovisuelle ( Spectacle et audiovisuel )
17.815863,-11.956282,10.095492,Tuyauterie ( Fabrication et transformation d'éléments )
1.0315453,-17.50744,16.963408,Maintenance d'équipements de production ou collectifs ( Maintenance - entretien technique )
6.48062,11.178894,-1.394895,"Chocolat, confiserie"
-17.452175,-0.35182014,-6.1033163,Droit - juridique - notariat
15.3951,-2.0429778,-18.33559,"Réalisation de vêtements, de patronnages ou de styles de produits de la mode ( Mode et stylisme )"
4.3029685,7.7208567,1.3382463,Sucre
5.7889094,2.4474661,16.199116,"Industrie du papier, carton"
3.7922835,8.83418,-14.539116,"Communication, Média et Multimédia - Industries graphiques"
-13.703989,-25.640318,-4.635685,Navigation maritime et fluviale ( Transport )
4.1986666,-26.877232,-0.22139084,Habilitations à la conduite d'engins de chantier et de manutention ( Engins de chantier et de manutention )
-3.698728,-18.996092,-4.4031487,Prospection ( Achat - vente )
-2.3711143,17.057371,10.974568,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux"
17.792625,-2.4912865,-6.8676295,Conception de produits textiles ( Fabrication et transformation d'éléments )
-18.177666,19.623732,-2.7293687,Direction technique - entraînement sportif ( Sport )
-8.836087,-5.692151,-0.43322885,Gestion administrative du personnel ( Ressources Humaines )
14.771194,-5.092707,5.884223,"Plasturgie, caoutchouc, composites"
1.682258,15.09639,-17.99478,Spectacle - Conception et production de spectacles
-17.9529,-19.722397,-1.103841,Transport et Logistique
-6.4213114,-2.874966,0.28065792,Management d'équipe ( Management et gestion d'entreprise )
-4.3948393,6.7212315,11.548436,Services à la personne et à la collectivité - Propreté et environnement urbain
-18.37487,-7.5852466,-0.64863044,Contrôle qualité ( Qualité )
1.6298068,-17.621061,13.89399,Maintenance
5.5896144,-14.074198,1.2019769,Moulage manuel et industriel ( Fabrication et transformation d'éléments )
-8.938238,2.7790728,12.65054,Services à la personne et à la collectivité - Sécurité privée
-14.989367,6.5791297,2.229244,Hébergement social ( Intervention sociale )
2.657526,2.0841813,-24.722551,Ecriture et édition
9.6523285,-25.108147,-3.512939,Dépannage de véhicules ( Maintenance - entretien technique )
-1.4033213,-2.6460235,10.237762,Eco-industrie
-19.82665,12.266176,7.5161867,Médecine nucléaire
-30.434168,7.6458693,-1.8028831,Secrétariat administratif ( Secrétariat )
-15.011711,15.344825,9.024962,Santé - Praticiens médicaux
-16.363583,7.7414064,5.001936,Santé et action sociale
-8.314088,7.6176343,-20.693165,Pratique d'une langue ou d'un langage ( Langues )
-5.085304,-19.536959,5.8299274,Eclairage et son ( Spectacle et audiovisuel )
-20.32931,-0.43622932,-1.3686763,Conseil - expertise - aide à la décision
15.017124,-5.25124,-0.22952963,"Fabrication de parquets, lambris, moulures, ..."
-5.203144,-3.3577409,20.462639,Police Nationale et Gendarmerie Nationale
27.871061,5.7186146,-1.670986,Arts et Façonnage d'ouvrages d'art - Arts plastiques
14.42638,-7.8594007,-0.5426913,Tuiles et briques en béton
25.069496,4.671421,7.222173,Ameublement
24.51406,4.043574,6.362925,"Bois, ameublement"
2.3927412,10.674639,-14.82526,Photographie ( Métiers d'art )
-30.322906,6.8629,-2.4054894,Secrétariat comptable ( Secrétariat )
-10.039839,9.819837,1.148197,Politiques publiques et territoriales ( Politiques publiques et territoriales )
1.107976,-9.949108,-10.539863,Analyses et tests informatiques ( Informatique - numérique )
-12.085036,-2.3509023,13.896507,Habilitations - certificats - brevets en sécurité et secours ( Protection - surveillance - sécurité )
-0.13021982,-13.3581915,-27.644081,Contrôle et suivi d'impression ou de reprographie ( Impression - prépresse - reprographie )
