"14eme","14éme"
"15eme","15éme"
"17eme","17éme"
"19eme","19éme"
"4eme","4éme"
"5eme","5éme"
"9eme","9éme"
"abaisser","abaissement"
"abattements","abattement"
"abattoirs","abattoir"
"abbe","abbé"
"abbes","abbès"
"abonnement","abonnements"
"abordable","abordables"
"abordant","aborder"
"abouties","aboutie"
"abrasif","abrasifs"
"abricot","abricots"
"absorbeurs","absorbeur"
"acacias","acacia"
"acceptées","acceptée"
"accidentel","accidentelle"
"accompagnante","accompagnant"
"accompagnatrice","accompagnateur"
"accompagnements","accompagnement"
"accomplie","accompli"
"accomplis","accompli"
"accordage","accorder"
"accordé","accordés"
"accoudoirs","accoudoir"
"accouplements","accouplement"
"accroche","accroches"
"accrocheur","accrocheuse"
"accroitre","accroître"
"accru","accrue"
"accréditations","accréditation"
"accréditée","accrédité"
"accueillante","accueillant"
"accumulateur","accumulateurs"
"accusé","accusés"
"accélérateurs","accélérateur"
"accélérés","accéléré"
"achat","achats"
"acheteuse","acheteur"
"achevées","achevée"
"acidités","acidité"
"acompte","acomptes"
"acryliques","acrylique"
"actionnaire","actionnaires"
"actionneur","actionneurs"
"activée","activées"
"actualisées","actualisée"
"actualités","actualité"
"adaptabilite","adaptabilité"
"adaptateurs","adaptateur"
"adaptatif","adaptative"
"additionnelle","additionnelles"
"adelaide","adelaïde"
"adelaïde","adélaïde"
"adelia","adélia"
"adeo","adéo"
"adhérente","adhérent"
"adjointe","adjoint"
"administratrice","administrateur"
"admise","admis"
"adoptant","adopter"
"adoptées","adoptée"
"adoucisseur","adoucisseurs"
"adéquate","adéquates"
"aer","aér"
"aerazur","aérazur"
"aero","aéro"
"aerolia","aérolia"
"aeronautique","aéronautique"
"aeroplanes","aéroplanes"
"aerospace","aérospace"
"affacturages","affacturage"
"affaire","affaires"
"afficheuse","afficheur"
"affiliations","affiliation"
"affiliée","affilié"
"affirmation","affirmer"
"affirmé","affirmer"
"affirmée","affirmé"
"affrètements","affrètement"
"affréteurs","affréteur"
"affréteuse","affréteur"
"afférent","afférents"
"affûteuse","affûteur"
"africains","africain"
"agences","agence"
"agendas","agenda"
"agente","agent"
"agiles","agile"
"agrafes","agrafe"
"agraires","agraire"
"agricultrice","agriculteur"
"agronomiques","agronomique"
"agréables","agréable"
"aidants","aidant"
"aide-soignante","aide-soignant"
"aikido","aïkido"
"aileron","ailerons"
"ailes","aile"
"aiment","aimer"
"aimerai","aimerais"
"aines","aine"
"airbags","airbag"
"aise","aisé"
"aisé","aisée"
"ajusteuse","ajusteur"
"akuiteo","akuitéo"
"albums","album"
"alcyon","alcyone"
"alenia","alénia"
"algorithme","algorithmes"
"aligné","aligner"
"alignée","aligné"
"alignées","alignée"
"alignés","aligné"
"alimentée","alimenté"
"alimentées","alimentée"
"alinea","alinéa"
"alize","alizé"
"allergène","allergènes"
"allie","allié"
"allié","alliée"
"allouée","allouées"
"allouées","alloué"
"alloués","alloué"
"allégation","allégations"
"allégement","alléger"
"allégé","allégés"
"allégée","allégé"
"alpins","alpin"
"altimètre","altimètres"
"altérations","altération"
"alvéolaire","alvéolaires"
"aléatoire","aléatoires"
"amandes","amande"
"amateure","amateur"
"amatrice","amateur"
"ambassades","ambassade"
"ambassadrice","ambassadeur"
"ambes","ambès"
"ambiants","ambiant"
"ambitieuses","ambitieuse"
"ambitions","ambition"
"ambulancière","ambulancier"
"ambulatoires","ambulatoire"
"america","américa"
"amerique","amérique"
"amiables","amiable"
"amiantes","amiante"
"amical","amicale"
"amicales","amicale"
"amidons","amidon"
"amine","amines"
"amines","aminés"
"amortissements","amortissement"
"amortisseurs","amortisseur"
