"14éme","14eme"
"15éme","15eme"
"17éme","17eme"
"19éme","19eme"
"3éme","3eme"
"4éme","4eme"
"5éme","5eme"
"6éme","6eme"
"8ième","8ieme"
"9éme","9eme"
"abaissa","abaisser"
"abaissai","abaisser"
"abaissaient","abaisser"
"abaissait","abaisser"
"abaissant","abaisser"
"abaissante","abaisser"
"abaisse","abaisser"
"abaissement","abaisser"
"abaissent","abaisser"
"abaissera","abaisser"
"abaisserai","abaisser"
"abaisseraient","abaisser"
"abaisserais","abaisser"
"abaisserait","abaisser"
"abaisses","abaisser"
"abaissez","abaisser"
"abaissons","abaisser"
"abaissèrent","abaisser"
"abaissé","abaisser"
"abaissée","abaisser"
"abaissées","abaisser"
"abaissés","abaisser"
"abandonna","abandonner"
"abandonnai","abandonner"
"abandonnaient","abandonner"
"abandonnais","abandonner"
"abandonnait","abandonner"
"abandonnant","abandonner"
"abandonnas","abandonner"
"abandonne","abandonner"
"abandonnent","abandonner"
"abandonnera","abandonner"
"abandonnerai","abandonner"
"abandonneraient","abandonner"
"abandonnerais","abandonner"
"abandonnerait","abandonner"
"abandonneras","abandonner"
"abandonnerez","abandonner"
"abandonneriez","abandonner"
"abandonnerions","abandonner"
"abandonnerons","abandonner"
"abandonneront","abandonner"
"abandonnes","abandonner"
"abandonnez","abandonner"
"abandonniez","abandonner"
"abandonnions","abandonner"
"abandonnons","abandonner"
"abandonnâmes","abandonner"
"abandonnât","abandonner"
"abandonnèrent","abandonner"
"abandonné","abandonner"
"abandonnée","abandonner"
"abandonnées","abandonner"
"abandonnés","abandonner"
"abandons","abandon"
"abat","abattre"
"abats","abattre"
"abattages","abattage"
"abattaient","abattre"
"abattais","abattre"
"abattait","abattre"
"abattant","abattre"
"abattants","abattre"
"abatte","abattre"
"abattements","abattement"
"abattent","abattre"
"abattes","abattre"
"abattez","abattre"
"abattiez","abattre"
"abattions","abattre"
"abattirent","abattre"
"abattis","abattre"
"abattit","abattre"
"abattoirs","abattoir"
"abattons","abattre"
"abattra","abattre"
"abattrai","abattre"
"abattraient","abattre"
"abattrais","abattre"
"abattrait","abattre"
"abattras","abattre"
"abattrez","abattre"
"abattriez","abattre"
"abattrons","abattre"
"abattront","abattre"
"abattu","abattre"
"abattue","abattre"
"abattues","abattre"
"abattus","abattre"
"abbaye-école","abbaye école"
"abbe","abbé"
"abbesse","abbé"
"abbesses","abbé"
"abbès","abbes"
"abbés","abbé"
"abeilles","abeille"
"ablations","ablation"
"abonnai","abonnement"
"abonnant","abonnement"
"abonne","abonnement"
"abonnements","abonnement"
"abonner","abonnement"
"abonnez","abonnement"
"abonnât","abonnement"
"abonné","abonnement"
"abonnée","abonnement"
"abonnées","abonnement"
"abonnés","abonnement"
"aborda","aborder"
"abordables","abordable"
"abordai","aborder"
"abordaient","aborder"
"abordais","aborder"
"abordait","aborder"
"abordant","aborder"
"aborde","aborder"
"abordent","aborder"
"abordera","aborder"
"aborderai","aborder"
"aborderaient","aborder"
"aborderais","aborder"
"aborderait","aborder"
"aborderiez","aborder"
"aborderions","aborder"
"aborderons","aborder"
"aborderont","aborder"
"abordes","aborder"
"abordez","aborder"
"abordiez","aborder"
"abordions","aborder"
