"14éme","14eme"
"15éme","15eme"
"17éme","17eme"
"19éme","19eme"
"3éme","3eme"
"4éme","4eme"
"5éme","5eme"
"6éme","6eme"
"8ième","8ieme"
"9éme","9eme"
"a jeun","à jeun"
"a-sexué","asexué"
"a-sexuée","asexué"
"abaissa","abaisser"
"abaissai","abaisser"
"abaissaient","abaisser"
"abaissait","abaisser"
"abaissant","abaisser"
"abaissante","abaisser"
"abaisse","abaisser"
"abaissement","abaisser"
"abaissent","abaisser"
"abaissera","abaisser"
"abaisserai","abaisser"
"abaisseraient","abaisser"
"abaisserais","abaisser"
"abaisserait","abaisser"
"abaisses","abaisser"
"abaissez","abaisser"
"abaissons","abaisser"
"abaissèrent","abaisser"
"abaissé","abaisser"
"abaissée","abaisser"
"abaissées","abaisser"
"abaissés","abaisser"
"abalones","abalone"
"abandonna","abandonner"
"abandonnai","abandonner"
"abandonnaient","abandonner"
"abandonnais","abandonner"
"abandonnait","abandonner"
"abandonnant","abandonner"
"abandonnas","abandonner"
"abandonne","abandonner"
"abandonnent","abandonner"
"abandonnera","abandonner"
"abandonnerai","abandonner"
"abandonneraient","abandonner"
"abandonnerais","abandonner"
"abandonnerait","abandonner"
"abandonneras","abandonner"
"abandonnerez","abandonner"
"abandonneriez","abandonner"
"abandonnerions","abandonner"
"abandonnerons","abandonner"
"abandonneront","abandonner"
"abandonnes","abandonner"
"abandonneurs","abandonneur"
"abandonnez","abandonner"
"abandonniez","abandonner"
"abandonnions","abandonner"
"abandonnons","abandonner"
"abandonnâmes","abandonner"
"abandonnât","abandonner"
"abandonnèrent","abandonner"
"abandonné","abandonner"
"abandonnée","abandonner"
"abandonnées","abandonner"
"abandonnés","abandonner"
"abandons","abandon"
"abasourdi","abasourdir"
"abasourdie","abasourdir"
"abasourdis","abasourdir"
"abasourdissants","abasourdissant"
"abat","abattre"
"abatis-brûlis","abatis brûlis"
"abats","abattre"
"abattages","abattage"
"abattaient","abattre"
"abattais","abattre"
"abattait","abattre"
"abattant","abattre"
"abattants","abattre"
"abatte","abattre"
"abattements","abattement"
"abattent","abattre"
"abattes","abattre"
"abatteurs","abatteur"
"abattez","abattre"
"abattiez","abattre"
"abattions","abattre"
"abattirent","abattre"
"abattis","abattre"
"abattit","abattre"
"abattoirs","abattoir"
"abattons","abattre"
"abattra","abattre"
"abattrai","abattre"
"abattraient","abattre"
"abattrais","abattre"
"abattrait","abattre"
"abattras","abattre"
"abattrez","abattre"
"abattriez","abattre"
"abattrons","abattre"
"abattront","abattre"
"abattu","abattre"
"abattue","abattre"
"abattues","abattre"
"abattures","abatture"
"abattus","abattre"
"abbatiale","abbatial"
"abbatiales","abbatial"
"abbaye-école","abbaye école"
"abbayes","abbaye"
"abbe","abbé"
"abbesse","abbé"
"abbesses","abbé"
"abbâs","abbas"
"abbès","abbes"
"abbés","abbé"
"abdallâh","abdallah"
"abdications","abdication"
"abdiqua","abdiquer"
"abdiquai","abdiquer"
"abdiquaient","abdiquer"
"abdiquais","abdiquer"
"abdiquait","abdiquer"
"abdiquant","abdiquer"
"abdique","abdiquer"
"abdiquera","abdiquer"
"abdiquerais","abdiquer"
"abdiquerait","abdiquer"
"abdiquez","abdiquer"
