"a brule-pourpoint","['à brûle-pourpoint']"
"a cloche-pied","['à cloche-pied']"
"a cropetons","['à cropetons']"
"a croupetons","['à croupetons']"
"a fortiori","['à fortiori']"
"a giorno","['à giorno']"
"a glagla","['à glagla']"
"a jeun","['à jeun']"
"a l'aveuglette","[""à l'aveuglette""]"
"a l'encan","[""à l'encan""]"
"a l'encontre","[""à l'encontre""]"
"a l'envi","[""à l'envi""]"
"a l'improviste","[""à l'improviste""]"
"a l'instar","[""à l'instar""]"
"a la daumont","['à la daumont']"
"a la saint-glinglin","['à la saint-glinglin']"
"a leur encontre","['à leur encontre']"
"a lurelure","['à lurelure']"
"a mon encontre","['à mon encontre']"
"a notre encontre","['à notre encontre']"
"a posteriori","['à posteriori']"
"a priori","['à priori']"
"a rebrousse-poil","['à rebrousse-poil']"
"a son encontre","['à son encontre']"
"a tatons","['à tâtons']"
"a tire-larigot","['à tire-larigot']"
"a ton encontre","['à ton encontre']"
"a touche-touche","['à touche-touche']"
"a tue-tete","['à tue-tête']"
"a votre encontre","['à votre encontre']"
"a-cote","['à-côté']"
"a-cotes","['à-côtés']"
"a-coup","['à-coup']"
"a-coups","['à-coups']"
"a-dieu-vat","['à-dieu-vat']"
"a-peu-pres","['à-peu-près']"
"a-pic","['à-pic']"
"a-pics","['à-pics']"
"a-plat","['à-plat']"
"a-plats","['à-plats']"
"a-propos","['à-propos']"
"a-valoir","['à-valoir']"
"abaisse","['abaissé']"
"abaissee","['abaissée']"
"abaissees","['abaissées']"
"abaisserent","['abaissèrent']"
"abaisses","['abaissés']"
"abandonnames","['abandonnâmes']"
"abandonnat","['abandonnât']"
"abandonne","['abandonné']"
"abandonnee","['abandonnée']"
"abandonnees","['abandonnées']"
"abandonnerent","['abandonnèrent']"
"abandonnes","['abandonnés']"
"abatardi","['abâtardi']"
"abatardie","['abâtardie']"
"abatardies","['abâtardies']"
"abatardir","['abâtardir']"
"abatardirai","['abâtardirai']"
"abatardissant","['abâtardissant']"
"abbe","['abbé']"
"abbes","['abbés']"
"abces","['abcès']"
"abdique","['abdiqué']"
"abdiquee","['abdiquée']"
"abecedaire","['abécédaire']"
"abeti","['abêti']"
"abeties","['abêties']"
"abetir","['abêtir']"
"abetis","['abêtis']"
"abetissait","['abêtissait']"
"abetissement","['abêtissement']"
"abetit","['abêtit']"
"abhorre","['abhorré']"
"abhorree","['abhorrée']"
"abhorres","['abhorrés']"
"abima","['abîma']"
"abimai","['abîmai']"
"abimaient","['abîmaient']"
"abimait","['abîmait']"
"abimant","['abîmant']"
"abime","['abîmé', 'abîme']"
"abimee","['abîmée']"
"abimees","['abîmées']"
"abiment","['abîment']"
"abimer","['abîmer']"
"abimera","['abîmera']"
"abimerai","['abîmerai']"
"abimerais","['abîmerais']"
"abimerait","['abîmerait']"
"abimeras","['abîmeras']"
"abimerez","['abîmerez']"
"abimeront","['abîmeront']"
"abimes","['abîmes', 'abîmés']"
"abimez","['abîmez']"
"abimions","['abîmions']"
"abimons","['abîmons']"
"abjure","['abjuré']"
"abnegation","['abnégation']"
"abonde","['abondé']"
"abonnat","['abonnât']"
"abonne","['abonné']"
"abonnee","['abonnée']"
"abonnees","['abonnées']"
"abonnes","['abonnés']"
"abordames","['abordâmes']"
"aborde","['abordé']"
"abordee","['abordée']"
"abordees","['abordées']"
"aborderent","['abordèrent']"
"abordes","['abordés']"
"aborigene","['aborigène']"
"aborigenes","['aborigènes']"
"abouche","['abouché']"
"abouchee","['abouchée']"
"abouches","['abouchés']"
"aboutimes","['aboutîmes']"
"aboye","['aboyé']"
"aboyerent","['aboyèrent']"
"abracadabre","['abracadabré']"
"abrase","['abrasé']"
