"réaliser","realiser",2452,2240,1.903638,8,"sirela",6,IFV,None,1.297388,0.0
"technique","",2219,1911,2.062488,9,"hcitneuq",8,IFV,None,1.174105,0.0005649717514124294
"équiper","equiper",2203,1708,2.174791,7,"iprueq",6,IFV,None,1.165639,0.0002824858757062147
"gestion","",2029,1569,2.259676,7,"sitnego",7,IFV,None,1.073573,0.0008474576271186442
"fabrication","",1536,1313,2.4378,11,"ictrnaofb",9,IFV,None,0.812719,0.0014124293785310734
"production","",1447,973,2.737485,10,"dcitpruno",9,IFV,None,0.765628,0.0016949152542372883
"produire","",1434,1215,2.51537,8,"diprueo",7,IFV,None,0.75875,0.0011299435028248588
"transformation","",1415,1157,2.564284,14,"sitrnmaof",9,IFV,None,0.748697,0.0033898305084745766
"élément","element",1393,1355,2.406313,7,"tmenl",5,IFV,None,0.737056,0.002824858757062147
"sécurité","securite",1369,773,2.96759,8,"scitreu",7,IFV,None,0.724357,0.0019774011299435027
"service","",1298,943,2.768803,7,"sicvre",6,IFV,None,0.68679,0.0022598870056497176
"maintenance","",1277,782,2.956015,11,"ictmnea",7,IFV,None,0.675679,0.003672316384180791
"transport","",1247,785,2.952186,9,"stprnao",7,IFV,None,0.659805,0.0039548022598870055
"activité","activite",1170,749,2.999131,8,"icvtea",6,IFV,None,0.619063,0.0025423728813559325
"entretien","",1147,842,2.882089,9,"itner",5,IFV,None,0.606894,0.00480225988700565
"contrôle","controle",1135,843,2.880903,8,"ctrnelo",7,IFV,None,0.600544,0.004519774011299435
"emploimétier","emploimetier",1076,532,3.341226,12,"itpmerlo",8,OFV,None,0.569327,0.0031073446327683617
"industriel","",1045,775,2.965006,10,"dsitnurel",9,IFV,None,0.552924,0.005084745762711865
"métier","metier",1014,1007,2.703139,6,"itmer",5,IFV,None,0.536522,0.0062146892655367235
"professionnel","",994,602,3.217612,13,"siprenlof",9,IFV,None,0.525939,0.00423728813559322
"aménagement","amenagement",981,825,2.902486,11,"tmenga",6,IFV,None,0.519061,0.006779661016949153
"vente","",977,734,3.01936,5,"nevt",4,IFV,None,0.516944,0.007062146892655367
"informatique","",949,705,3.059672,12,"itnrmuaeqof",11,IFV,None,0.502129,0.006497175141242938
"audiovisuel","",922,614,3.197875,11,"dsivuelao",9,IFV,None,0.487843,0.008192090395480226
"exercer","",897,532,3.341226,7,"xerc",4,IFV,None,0.474615,0.005367231638418079
