"gestion","",2029,1569,2.259676,7,"osignte",7,OFV,None,1.074101,None
"réaliser","realiser",1654,1645,2.212374,8,"laisre",6,IFV,None,0.875586,None
"fabrication","",1522,1300,2.447750,11,"ocfairbtn",9,IFV,None,0.805708,None
"production","",1432,971,2.739543,10,"ocdupirtn",9,IFV,None,0.758065,None
"transformation","",1398,1151,2.569483,14,"ofmsairtn",9,IFV,None,0.740066,None
"sécurité","securite",1368,773,2.967590,8,"cusirte",7,IFV,None,0.724185,None
"éléments","elements",1368,1332,2.423433,8,"mlsnte",6,IFV,None,0.724185,None
"maintenance","",1277,782,2.956015,11,"ecmaitn",7,OFV,None,0.676011,None
"techniques","",1196,1082,2.631303,10,"cqhuisnte",9,IFV,None,0.633132,None
"transport","",1144,766,2.976687,9,"osaprtn",7,IFV,None,0.605605,None
"entretien","",1142,839,2.885659,9,"irnte",5,IFV,None,0.604546,None
"emploimétier","emploimetier",1076,532,3.341226,12,"omlpirte",8,OFV,None,0.569607,None
"contrôle","controle",1032,827,2.900065,8,"oclrnte",7,IFV,None,0.546315,None
"technique","",1023,887,2.830025,9,"cqhuinte",8,IFV,None,0.541550,None
"équipements","equipements",1000,871,2.848228,11,"qmuipsnte",9,IFV,None,0.529375,None
"produits","",987,834,2.891636,8,"odupisrt",8,IFV,None,0.522493,None
"activité","activite",983,634,3.165821,8,"caitve",6,IFV,None,0.520375,None
"métiers","metiers",966,962,2.748855,7,"misrte",6,IFV,None,0.511376,None
"vente","",946,726,3.030319,5,"nvte",4,IFV,None,0.500788,None
"construction","",864,823,2.904913,12,"ocusirnt",8,IFV,None,0.457380,None
"informatique","",858,664,3.119587,12,"oqfmuiarnte",11,IFV,None,0.454203,None
"aménagement","amenagement",845,807,2.924546,11,"magnte",6,IFV,None,0.447321,None
"compétences","competences",842,838,2.886851,11,"ocmpsnte",8,IFV,None,0.445733,None
"transverses","",823,823,2.904913,11,"esartvn",7,OFV,None,0.435675,None
"médecine","medecine",811,596,3.227629,8,"cmdine",6,IFV,None,0.429323,None
"btp","",803,797,2.937015,3,"tpb",3,OFV,None,0.425088,None
"accessible","",797,532,3.341226,10,"claisbe",7,IFV,None,0.421911,None
"santé","sante",794,743,3.007173,5,"sante",5,IFV,None,0.420323,None
"art","",789,753,2.993804,3,"art",3,IFV,None,0.417676,None
"diplôme","diplome",754,477,3.450353,7,"omdlipe",7,IFV,None,0.399148,None
"audiovisuel","",747,611,3.202773,11,"odluaisve",9,IFV,None,0.395443,None
"spectacle","",747,634,3.165821,9,"clspate",7,IFV,None,0.395443,None
"qualité","qualite",732,420,3.577615,7,"qluaite",7,IFV,None,0.387502,None
"management","",713,431,3.551761,10,"magnte",6,OFV,None,0.377444,None
"opérations","operations",708,640,3.156401,10,"opairsnte",9,IFV,None,0.374797,None
"services","",703,504,3.395293,8,"csirve",6,IFV,None,0.372150,None
"entreprise","",693,547,3.313421,10,"pisrnte",7,IFV,None,0.366856,None
"protection","",687,585,3.246258,10,"ocpirnte",8,IFV,None,0.363680,None
"numérique","numerique",667,618,3.191381,9,"qmuirne",7,IFV,None,0.353093,None
"équipe","equipe",657,619,3.189764,6,"quipe",5,IFV,None,0.347799,None
"achat","",640,629,3.173738,5,"acth",4,IFV,None,0.338800,None
"pharmacie","",632,589,3.239443,9,"cmhpaire",8,IFV,None,0.334565,None
"formation","",620,356,3.742939,9,"ofmairtn",8,IFV,None,0.328212,None
"exploitation","",617,514,3.375646,12,"olpiantxe",9,IFV,None,0.326624,None
"service","",588,531,3.343107,7,"csirve",6,IFV,None,0.311272,None
"conduite","",575,475,3.454555,8,"ocduinte",8,IFV,None,0.304390,None
"industrielle","",574,557,3.295304,12,"dluisrnte",9,IFV,None,0.303861,None
"organisation","",571,547,3.313421,12,"oaisrgnt",8,IFV,None,0.302273,None
"information","",566,482,3.439925,11,"ofmiarnt",8,IFV,None,0.299626,None
"assurance","",563,428,3.558746,9,"cuasrne",7,IFV,None,0.298038,None
"finance","",557,420,3.577615,7,"cfiane",6,IFV,None,0.294861,None
"exerce","",549,532,3.341226,6,"xrce",4,IFV,None,0.290626,None
"utilisation","",502,448,3.513076,11,"oluisatn",8,IFV,None,0.265746,None
"machines","",500,457,3.493186,8,"cmhaisne",8,IFV,None,0.264687,None
"professionnelle","",490,424,3.568136,15,"oflpsirne",9,IFV,None,0.259393,None
"mécanique","mecanique",479,410,3.601712,9,"cqmuaine",8,IFV,None,0.253570,None
"mesures","",474,332,3.812735,7,"musre",5,IFV,None,0.250923,None
"surveillance","",473,437,3.537936,12,"clusiarnve",10,IFV,None,0.250394,None
"chantier","",473,281,3.979515,8,"cehairtn",8,IFV,None,0.250394,None
"communication","",470,288,3.954909,13,"ocmuiant",8,IFV,None,0.248806,None
"engins","",470,287,3.958387,6,"isgne",5,IFV,None,0.248806,None
"soins","",470,337,3.797787,5,"soin",4,IFV,None,0.248806,None
"réalisation","realisation",466,457,3.493186,11,"olaisrnte",9,IFV,None,0.246688,None
"fiscalité","fiscalite",461,404,3.616455,9,"cfliaste",8,OFV,None,0.244041,None
"niveau","",452,384,3.667227,6,"uianve",6,IFV,None,0.239277,None
"relation","",451,431,3.551761,8,"olairnte",8,IFV,None,0.238748,None
"entreprises","",445,370,3.704367,11,"pisrnte",7,IFV,None,0.235571,None
"banque","",440,423,3.570497,6,"quabne",6,IFV,None,0.232925,None
"produit","",429,408,3.606602,7,"odupirt",7,IFV,None,0.227101,None
"projet","",429,341,3.785987,6,"oprtej",6,IFV,None,0.227101,None
"intervenir","",422,421,3.575237,10,"irntve",6,IFV,None,0.223396,None
"risques","",414,258,4.064910,7,"quisre",6,IFV,None,0.219161,None
"secteur","",413,293,3.937697,7,"cusrte",6,IFV,None,0.218631,None
"réseau","reseau",412,250,4.096409,6,"usare",5,IFV,None,0.218102,None
"outils","",410,396,3.636455,6,"oluist",6,IFV,None,0.217043,None
"structure","",407,344,3.777228,9,"cusrte",6,IFV,None,0.215455,None
"équipement","equipement",404,387,3.659445,10,"qmuipnte",8,IFV,None,0.213867,None
"traitement","",402,361,3.728992,10,"miarnte",7,IFV,None,0.212808,None
"expérience","experience",397,377,3.685624,10,"cpirnxe",7,IFV,None,0.210161,None
"effectuer","",396,371,3.701667,9,"cfurte",6,IFV,None,0.209632,None
"conformité","conformite",391,349,3.762798,10,"ocfmirnte",9,OFV,None,0.206985,None
"professionnel","",391,325,3.834044,13,"oflpsirne",9,IFV,None,0.206985,None
"règles","regles",390,346,3.771431,6,"lsrge",5,IFV,None,0.206456,None
"coordonner","",387,381,3.675070,10,"ocdrne",6,IFV,None,0.204868,None
"montage","",386,339,3.791869,7,"omagnte",7,IFV,None,0.204338,None
"mise","",384,370,3.704367,4,"isem",4,IFV,None,0.203280,None
"manutention","",383,207,4.285151,11,"oemuaitn",8,IFV,None,0.202750,None
"sciences","",382,209,4.275535,8,"csine",5,IFV,None,0.202221,None
"contrôler","controler",381,381,3.675070,9,"oclrnte",7,IFV,None,0.201691,None
"audit","",379,273,4.008398,5,"duait",5,IFV,None,0.200633,None
"intervention","",375,356,3.742939,12,"oirntve",7,IFV,None,0.198515,None
"droit","",371,236,4.154038,5,"odirt",5,IFV,None,0.196398,None
"nettoyage","",370,206,4.289993,9,"oyagnte",7,IFV,None,0.195868,None
"logistique","",368,277,3.993852,10,"oqluisgte",9,IFV,None,0.194810,None
"conception","",362,345,3.774325,10,"ocpinte",7,IFV,None,0.191633,None
"stratégie","strategie",360,321,3.846428,9,"sairgte",7,IFV,None,0.190575,None
"concevoir","",357,357,3.740134,9,"ocirnve",7,IFV,None,0.188986,None
"suivi","",352,338,3.794824,5,"sivu",4,IFV,None,0.186340,None
"clients","",352,312,3.874866,7,"clisnte",7,IFV,None,0.186340,None
"exercer","",347,328,3.824856,7,"xrce",4,IFV,None,0.183693,None
"procédures","procedures",338,335,3.803739,10,"ocdupsre",8,IFV,None,0.178928,None
"actes","",334,327,3.827909,5,"caste",5,IFV,None,0.176811,None
"actions","",334,323,3.840217,7,"ocaistn",7,IFV,None,0.176811,None
"impression","",332,188,4.381428,10,"omipsrne",8,IFV,None,0.175752,None
"pratique","",330,284,3.968895,8,"qupiarte",8,IFV,None,0.174693,None
"matériaux","materiaux",330,276,3.997469,9,"muairtxe",8,IFV,None,0.174693,None
"requis","",328,248,4.104441,6,"quisre",6,IFV,None,0.173635,None
"enseignement","",328,291,3.944546,12,"misgnte",7,IFV,None,0.173635,None
"environnement","",324,284,3.968895,13,"omirnvte",8,IFV,None,0.171517,None
"mode","",323,211,4.266011,4,"odem",4,IFV,None,0.170988,None
"port","",322,251,4.092417,4,"port",4,IFV,None,0.170458,None
"électronique","electronique",322,246,4.112538,12,"ocqluirnte",10,IFV,None,0.170458,None
"travail","",318,289,3.951443,7,"liartv",6,IFV,None,0.168341,None
"comptabilité","comptabilite",316,292,3.941116,12,"ocmlpaibte",10,IFV,None,0.167282,None
"analyses","",309,292,3.941116,8,"ylasne",6,IFV,None,0.163576,None
"données","donnees",308,288,3.954909,7,"odsne",5,IFV,None,0.163047,None
"bac","",303,211,4.266011,3,"acb",3,IFV,None,0.160400,None
"agriculture","",303,255,4.076606,11,"cluaigrte",9,OFV,None,0.160400,None
"fins","",303,302,3.907442,4,"ifns",4,IFV,None,0.160400,None
"restauration","",299,264,4.041920,12,"ousairnte",9,IFV,None,0.158283,None
"pêche","peche",299,245,4.116611,5,"pche",4,IFV,None,0.158283,None
"intervenants","",298,292,3.941116,12,"iasrntve",8,IFV,None,0.157753,None
"semaine","",297,296,3.927510,7,"msiane",6,IFV,None,0.157224,None
"caractéristiques","caracteristiques",296,291,3.944546,16,"cquaisrte",9,IFV,None,0.156695,None
"varie","",296,296,3.927510,5,"airve",5,IFV,None,0.156695,None
"travaux","",295,248,4.104441,7,"xuartv",6,IFV,None,0.156165,None
"commerciale","",294,245,4.116611,11,"ocmliare",8,IFV,None,0.155636,None
"type","",294,250,4.096409,4,"tyep",4,IFV,None,0.155636,None
"client","",293,246,4.112538,6,"clinte",6,IFV,None,0.155106,None
"systèmes","systemes",292,257,4.068793,8,"myste",5,IFV,None,0.154577,None
"prévention","prevention",289,197,4.334666,10,"opirnvte",8,IFV,None,0.152989,None
"pilotage","",289,284,3.968895,8,"olpiagte",8,OFV,None,0.152989,None
"agroalimentaire","",282,221,4.219707,15,"omlaigrnte",10,OFV,None,0.149283,None
"méthodes","methodes",282,247,4.108481,8,"omdhste",7,IFV,None,0.149283,None
"matériel","materiel",281,268,4.026883,8,"mlairte",7,IFV,None,0.148754,None
"définir","definir",278,278,3.990248,7,"fdirne",6,IFV,None,0.147166,None
"sylviculture","",278,240,4.137231,12,"cylusirtve",10,OFV,None,0.147166,None
"animation","",277,238,4.145599,9,"omaitn",6,IFV,None,0.146636,None
"analyse","",275,232,4.171132,7,"ylasne",6,IFV,None,0.145578,None
"orientation","",274,242,4.128932,11,"oiarnte",7,IFV,None,0.145048,None
"bois","",273,184,4.402934,4,"iosb",4,IFV,None,0.144519,None
"textiles","",271,258,4.064910,8,"listxe",6,IFV,None,0.143460,None
"procédés","procedes",270,259,4.061041,8,"ocdpsre",7,IFV,None,0.142931,None
"impliquer","",269,238,4.145599,9,"qmluipre",8,IFV,None,0.142401,None
"développement","developpement",268,211,4.266011,13,"omdlpnvte",9,IFV,None,0.141872,None
"génie","genie",267,231,4.175452,5,"nige",4,IFV,None,0.141343,None
"action","",267,261,4.053349,6,"ocaitn",6,IFV,None,0.141343,None
"hygiène","hygiene",266,183,4.408383,7,"yhigne",6,IFV,None,0.140813,None
"textile","",265,241,4.133073,7,"litxe",5,IFV,None,0.140284,None
"contact","",264,262,4.049525,7,"ocant",5,IFV,None,0.139755,None
"reprographie","",263,153,4.587432,12,"ohpairge",8,OFV,None,0.139225,None
"humaines","",256,226,4.197335,8,"mhuiasne",8,IFV,None,0.135520,None
"télécom","telecom",255,139,4.683396,7,"ocmlte",6,IFV,None,0.134990,None
"tourisme","",251,177,4.441720,8,"omuisrte",8,OFV,None,0.132873,None
"également","egalement",250,250,4.096409,9,"mlagnte",7,OFV,None,0.132343,None
"système","systeme",249,245,4.116611,7,"myste",5,IFV,None,0.131814,None
"fériés","feries",248,248,4.104441,6,"fisre",5,IFV,None,0.131285,None
"oeuvre","",243,231,4.175452,6,"ourve",5,IFV,None,0.128638,None
"personnes","",241,205,4.294860,9,"opsrne",6,IFV,None,0.127579,None
"réglementation","reglementation",240,233,4.166831,14,"omlairgnte",10,IFV,None,0.127050,None
"habilitations","",237,237,4.149809,13,"olhaisbtn",9,IFV,None,0.125461,None
"installation","",236,208,4.280331,12,"oliastn",7,IFV,None,0.124932,None
"loisirs","",236,182,4.413863,7,"olisr",5,IFV,None,0.124932,None
"mettre","",235,235,4.158284,6,"trem",4,IFV,None,0.124403,None
"comptables","",235,210,4.270762,10,"ocmlpasbte",10,IFV,None,0.124403,None
"ressources","",235,206,4.289993,10,"ocusre",6,IFV,None,0.124403,None
"juridique","",231,214,4.251893,9,"qduirej",7,IFV,None,0.122285,None
"préparation","preparation",231,225,4.201769,11,"opairnte",8,IFV,None,0.122285,None
"territoriales","",230,139,4.683396,13,"oliasrte",8,IFV,None,0.121756,None
"documentation","",230,227,4.192919,13,"ocmduainte",10,IFV,None,0.121756,None
"documents","",227,205,4.294860,9,"ocmdusnte",9,IFV,None,0.120168,None
"recherche","",227,144,4.648056,9,"crhe",4,IFV,None,0.120168,None
"industriels","",224,212,4.261283,11,"dluisrnte",9,IFV,None,0.118580,None
"sociale","",224,150,4.607234,7,"oclsiae",7,IFV,None,0.118580,None
"marketing","",223,170,4.482071,9,"mkairgnte",9,IFV,None,0.118050,None
"bouche","",222,222,4.215192,6,"ochube",6,IFV,None,0.117521,None
"place","",220,214,4.251893,5,"clpae",5,IFV,None,0.116462,None
"organiser","",218,218,4.233374,9,"oaisrgne",8,IFV,None,0.115403,None
"industrie","",214,208,4.280331,9,"duisrnte",8,IFV,None,0.113286,None
"personnel","",213,185,4.397514,9,"olpsrne",7,IFV,None,0.112756,None
"aide","",213,198,4.329602,4,"aide",4,IFV,None,0.112756,None
"effectue","",211,183,4.408383,8,"cfute",5,IFV,None,0.111698,None
"conseil","",211,133,4.727520,7,"oclsine",7,IFV,None,0.111698,None
"master","",209,126,4.781588,6,"masrte",6,IFV,None,0.110639,None
"auprès","aupres",209,202,4.309602,6,"uapsre",6,OFV,None,0.110639,None
"notariat","",208,198,4.329602,8,"oairnt",6,OFV,None,0.110110,None
"secrétariat","secretariat",206,103,4.983141,11,"csairte",7,IFV,None,0.109051,None
"cuisine","",203,173,4.464578,7,"cuisne",6,IFV,None,0.107463,None
"electricité","electricite",203,184,4.402934,11,"clirte",6,OFV,None,0.107463,None
"langue","",202,153,4.587432,6,"luagne",6,IFV,None,0.106933,None
"aptitude","",201,110,4.917389,8,"duaipte",7,IFV,None,0.106404,None
"identifier","",201,201,4.314565,10,"fdirnte",7,IFV,None,0.106404,None
"bac+2","",200,197,4.334666,5,"c2+ab",5,OFV,None,0.105875,None
"bts","",200,198,4.329602,3,"tsb",3,OFV,None,0.105875,None
"réalise","realise",198,196,4.339755,7,"laisre",6,IFV,None,0.104816,None
"maritime","",195,165,4.511924,8,"mairte",6,IFV,None,0.103228,None
"publiques","",195,103,4.983141,9,"qlupisbe",8,IFV,None,0.103228,None
"publique","",193,171,4.476206,8,"qlupibe",7,IFV,None,0.102169,None
"vérifier","verifier",192,192,4.360374,8,"firve",5,IFV,None,0.101640,None
"capbep","",191,190,4.370845,6,"capbe",5,OFV,None,0.101110,None
"publics","",191,158,4.555274,7,"clupisb",7,IFV,None,0.101110,None
"logiciels","",190,177,4.441720,9,"oclisge",7,IFV,None,0.100581,None
"pièces","pieces",188,171,4.476206,6,"cpise",5,IFV,None,0.099522,None
"activités","activites",187,160,4.542696,9,"caistve",7,IFV,None,0.098993,None
"véhicule","vehicule",186,165,4.511924,8,"chluive",7,IFV,None,0.098463,None
"nuit","",185,184,4.402934,4,"nitu",4,IFV,None,0.097934,None
"édition","edition",185,134,4.720030,7,"odinte",6,IFV,None,0.097934,None
"préparer","preparer",185,185,4.397514,8,"prea",4,IFV,None,0.097934,None
"déplacements","deplacements",184,181,4.419372,12,"cmdlpasnte",10,IFV,None,0.097405,None
"application","",183,178,4.436086,11,"oclaiptn",8,IFV,None,0.096875,None
"requise","",183,167,4.499876,7,"quisre",6,IFV,None,0.096875,None
"spécialisée","specialisee",183,183,4.408383,11,"clsipae",7,IFV,None,0.096875,None
"établissement","etablissement",182,147,4.627437,13,"mlaisnbte",9,IFV,None,0.096346,None
"politiques","",182,91,5.107010,10,"oqlupiste",9,IFV,None,0.096346,None
"médicale","medicale",181,169,4.487971,8,"cmdliae",7,IFV,None,0.095816,None
"partir","",181,177,4.441720,6,"piart",5,IFV,None,0.095816,None
"assistance","",181,174,4.458814,10,"ceaistn",7,IFV,None,0.095816,None
"programmation","",179,162,4.530273,13,"ompairgtn",9,OFV,None,0.094758,None
"matériels","materiels",179,166,4.505882,9,"mlaisrte",8,IFV,None,0.094758,None
"soumise","",179,179,4.430484,7,"omusie",6,IFV,None,0.094758,None
"public","",177,153,4.587432,6,"clupib",6,IFV,None,0.093699,None
"surveiller","",177,177,4.441720,10,"lusirve",7,IFV,None,0.093699,None
"analyser","",177,177,4.441720,8,"ylasrne",7,IFV,None,0.093699,None
"technicien","",176,173,4.464578,10,"chinte",6,IFV,None,0.093170,None
"navigation","",173,129,4.758057,10,"oiagnvt",7,IFV,None,0.091581,None
"audiovisuelle","",173,172,4.470375,13,"odluaisve",9,IFV,None,0.091581,None
"dessin","",173,122,4.813848,6,"dsine",5,IFV,None,0.091581,None
"machine","",171,169,4.487971,7,"cmhaine",7,IFV,None,0.090523,None
"surfaces","",170,158,4.555274,8,"cfusare",7,IFV,None,0.089993,None
"généraliste","generaliste",168,168,4.493906,11,"laisgrnte",9,IFV,None,0.088935,None
