"réaliser","realiser",2452,2240,1.903638,8,"sirela",6,IFV,None,1.298027,None
"technique","",2219,1911,2.062488,9,"hcitneuq",8,IFV,None,1.174683,None
"équiper","equiper",2203,1708,2.174791,7,"iprueq",6,IFV,None,1.166213,None
"gestion","",2029,1569,2.259676,7,"sitnego",7,IFV,None,1.074101,None
"fabrication","",1536,1313,2.437800,11,"ictrnaofb",9,IFV,None,0.813120,None
"production","",1447,973,2.737485,10,"dcitpruno",9,IFV,None,0.766005,None
"produire","",1434,1215,2.515370,8,"diprueo",7,IFV,None,0.759123,None
"transformation","",1415,1157,2.564284,14,"sitrnmaof",9,IFV,None,0.749065,None
"élément","element",1393,1355,2.406313,7,"tmenl",5,IFV,None,0.737419,None
"sécurité","securite",1368,773,2.967590,8,"scitreu",7,IFV,None,0.724185,None
"service","",1291,940,2.771990,7,"sicvre",6,IFV,None,0.683423,None
"maintenance","",1277,782,2.956015,11,"ictmnea",7,IFV,None,0.676011,None
"transport","",1247,785,2.952186,9,"stprnao",7,IFV,None,0.660130,None
"activité","activite",1170,749,2.999131,8,"icvtea",6,IFV,None,0.619368,None
"entretien","",1147,842,2.882089,9,"itner",5,IFV,None,0.607193,None
"contrôle","controle",1135,843,2.880903,8,"ctrnelo",7,IFV,None,0.600840,None
"emploimétier","emploimetier",1076,532,3.341226,12,"itpmerlo",8,OFV,None,0.569607,None
"industriel","",1045,775,2.965006,10,"dsitnurel",9,IFV,None,0.553196,None
"métier","metier",1014,1007,2.703139,6,"itmer",5,IFV,None,0.536786,None
"professionnel","",994,602,3.217612,13,"siprenlof",9,IFV,None,0.526198,None
"aménagement","amenagement",981,825,2.902486,11,"tmenga",6,IFV,None,0.519316,None
"vente","",976,734,3.019360,5,"nevt",4,IFV,None,0.516670,None
"informatique","",949,705,3.059672,12,"itnrmuaeqof",11,IFV,None,0.502376,None
"audiovisuel","",922,614,3.197875,11,"dsivuelao",9,IFV,None,0.488083,None
"exercer","",897,532,3.341226,7,"xerc",4,IFV,None,0.474849,None
"médecine","medecine",886,623,3.183323,8,"dicmen",6,IFV,None,0.469026,None
"spectacle","",884,639,3.157965,9,"sctpela",7,IFV,None,0.467967,None
"construction","",875,828,2.898856,12,"scitnruo",8,IFV,None,0.463203,None
"organisation","",860,782,2.956015,12,"sitnrgao",8,IFV,None,0.455262,None
"formation","",856,541,3.324450,9,"itrmnaof",8,IFV,None,0.453145,None
"art","",847,772,2.968885,3,"rta",3,IFV,None,0.448380,None
"compétence","competence",846,842,2.882089,10,"ctpmeno",7,IFV,None,0.447851,None
"opération","operation",825,747,3.001804,9,"itprenao",8,IFV,None,0.436734,None
"transverses","",823,823,2.904913,11,"stvrnea",7,OFV,None,0.435675,None
"btp","",803,797,2.937015,3,"ptb",3,OFV,None,0.425088,None
"accessible","",800,532,3.341226,10,"sicelab",7,IFV,None,0.423500,None
"santé","sante",794,743,3.007173,5,"stnea",5,IFV,None,0.420323,None
"intervenir","",764,730,3.024825,10,"itvner",6,IFV,None,0.404442,None
"analyser","",762,541,3.324450,8,"synerla",7,IFV,None,0.403383,None
"diplôme","diplome",759,479,3.446169,7,"dipmelo",7,IFV,None,0.401795,None
"conception","",757,668,3.113581,10,"citpneo",7,IFV,None,0.400736,None
"public","",756,521,3.362119,6,"icpulb",6,IFV,None,0.400207,None
"qualité","qualite",737,424,3.568136,7,"ituelaq",7,IFV,None,0.390149,None
"management","",724,437,3.537936,10,"tmenga",6,IFV,None,0.383267,None
"conduire","",718,558,3.293511,8,"dcinureo",8,IFV,None,0.380091,None
"protection","",709,586,3.244550,10,"citpreno",8,IFV,None,0.375326,None
"numérique","numerique",695,640,3.156401,9,"imenurq",7,IFV,None,0.367915,None
"entreprise","",693,547,3.313421,10,"sitpner",7,IFV,None,0.366856,None
"information","",685,548,3.311594,11,"itnrmaof",8,IFV,None,0.362621,None
"achat","",685,636,3.162671,5,"chta",4,IFV,None,0.362621,None
"machine","",671,579,3.256567,7,"hcimnea",7,IFV,None,0.355210,None
"exploitation","",650,530,3.344993,12,"itpxenlao",9,IFV,None,0.344093,None
"client","",648,523,3.358288,6,"ictnel",6,IFV,None,0.343035,None
"assurance","",635,438,3.535651,9,"scrunea",7,IFV,None,0.336153,None
"pharmacie","",633,589,3.239443,9,"hcipmrea",8,IFV,None,0.335094,None
"effectuer","",618,478,3.448259,9,"ctruef",6,IFV,None,0.327153,None
"travail","",615,530,3.344993,7,"ivtrla",6,IFV,None,0.325565,None
"traitement","",612,540,3.326300,10,"itremna",7,IFV,None,0.323977,None
"financement","",608,453,3.501977,11,"citnemaf",8,IFV,None,0.321860,None
"action","",601,574,3.265240,6,"ictnao",6,IFV,None,0.318154,None
"conseil","",591,425,3.565780,7,"scinelo",7,IFV,None,0.312860,None
"commercial","",587,389,3.654290,10,"cimerlao",8,IFV,None,0.310743,None
"requérir","requerir",583,388,3.656864,8,"ireuq",5,IFV,None,0.308625,None
"préparation","preparation",579,512,3.379545,11,"itprenao",8,IFV,None,0.306508,None
"mesurer","",551,396,3.636455,7,"smeur",5,IFV,None,0.291685,None
"chantier","",542,311,3.878077,8,"hcitnera",8,IFV,None,0.286921,None
"système","systeme",541,461,3.484471,7,"sytme",5,IFV,None,0.286391,None
"mécanique","mecanique",540,450,3.508622,9,"cimenuaq",8,IFV,None,0.285862,None
"textile","",536,468,3.469401,7,"itxel",5,IFV,None,0.283745,None
"utiliser","",534,476,3.452452,8,"sitruel",7,IFV,None,0.282686,None
"réseau","reseau",520,312,3.874866,6,"sreua",5,IFV,None,0.275275,None
"installer","",515,444,3.522045,9,"sitnerla",8,IFV,None,0.272628,None
"intervention","",509,467,3.471540,12,"itvnero",7,IFV,None,0.269451,None
"engin","",503,300,3.914087,5,"ineg",4,IFV,None,0.266275,None
"secteur","",500,330,3.818777,7,"sctrue",6,IFV,None,0.264687,None
"structurer","",498,394,3.641519,10,"sctrue",6,IFV,None,0.263628,None
"projet","",491,387,3.659445,6,"tprejo",6,IFV,None,0.259923,None
"social","",490,273,4.008398,6,"siclao",6,IFV,None,0.259393,None
"montage","",483,416,3.587184,7,"tmnegao",7,IFV,None,0.255688,None
"soin","",476,340,3.788924,4,"nios",4,IFV,None,0.251982,None
"communication","",474,292,3.941116,13,"citnmuao",8,IFV,None,0.250923,None
"surveillance","",473,437,3.537936,12,"sicvreulan",10,IFV,None,0.250394,None
"outil","",472,445,3.519795,5,"itulo",5,IFV,None,0.249865,None
"matériel","materiel",471,433,3.547132,8,"itmerla",7,IFV,None,0.249335,None
"niveau","",465,395,3.638984,6,"ivneua",6,IFV,None,0.246159,None
"régler","regler",462,402,3.621417,6,"relg",4,IFV,None,0.244571,None
"fiscalité","fiscalite",461,404,3.616455,9,"sictelaf",8,IFV,None,0.244041,None
"banque","",453,428,3.558746,6,"nueaqb",6,IFV,None,0.239806,None
"relation","",451,431,3.551761,8,"itrenlao",8,IFV,None,0.238748,None
"procéder","proceder",449,435,3.542523,8,"dcpreo",6,IFV,None,0.237689,None
"entreprises","",445,370,3.704367,11,"sitpner",7,IFV,None,0.235571,None
"risques","",434,273,4.008398,7,"sirueq",6,IFV,None,0.229748,None
"coordonner","",431,414,3.592004,10,"dcnreo",6,IFV,None,0.228160,None
"animation","",425,316,3.862127,9,"itnmao",6,IFV,None,0.224984,None
"pratiquer","",425,377,3.685624,9,"itprueaq",8,IFV,None,0.224984,None
"droit","",410,263,4.045715,5,"ditro",5,IFV,None,0.217043,None
"expérience","experience",401,381,3.675070,10,"icpxern",7,IFV,None,0.212279,None
"électronique","electronique",394,277,3.993852,12,"citrenluqo",10,IFV,None,0.208573,None
"conformité","conformite",391,349,3.762798,10,"citnrmeof",9,IFV,None,0.206985,None
"logistique","",390,281,3.979515,10,"situeglqo",9,IFV,None,0.206456,None
"enseignement","",390,320,3.849549,12,"sitnemg",7,IFV,None,0.206456,None
"nettoyage","",389,214,4.251893,9,"ytnegao",7,IFV,None,0.205926,None
"restauration","",388,287,3.958387,12,"sitreunao",9,IFV,None,0.205397,None
"science","",385,211,4.266011,7,"sicne",5,IFV,None,0.203809,None
"mise","",384,370,3.704367,4,"imes",4,IFV,None,0.203280,None
"manutention","",383,207,4.285151,11,"itmuneao",8,IFV,None,0.202750,None
"procédure","procedure",382,377,3.685624,9,"dcpreuo",7,IFV,None,0.202221,None
"audit","",381,275,4.001098,5,"ditua",5,IFV,None,0.201691,None
"contrôler","controler",381,381,3.675070,9,"ctrnelo",7,IFV,None,0.201691,None
"médical","medical",380,324,3.837126,7,"dicmela",7,IFV,None,0.201162,None
"mode","",377,262,4.049525,4,"dmeo",4,IFV,None,0.199574,None
"industrie","",375,347,3.768545,9,"dsitnure",8,IFV,None,0.198515,None
"juridique","",374,224,4.206223,9,"diruejq",7,IFV,None,0.197986,None
"type","",371,324,3.837126,4,"yetp",4,IFV,None,0.196398,None
"stratégie","strategie",369,328,3.824856,9,"sitrega",7,IFV,None,0.195339,None
"technicien","",354,197,4.334666,10,"hcitne",6,IFV,None,0.187398,None
"véhiculer","vehiculer",354,267,4.030621,9,"hicvreul",8,IFV,None,0.187398,None
"suivi","",352,338,3.794824,5,"iuvs",4,IFV,None,0.186340,None
"réglementation","reglementation",351,294,3.934290,14,"itamrelgno",10,IFV,None,0.185810,None
"piloter","",345,325,3.834044,7,"itprelo",7,IFV,None,0.182634,None
"matériau","materiau",343,284,3.968895,8,"itmerua",7,IFV,None,0.181575,None
"développement","developpement",339,268,4.026883,13,"dvtpmenlo",9,IFV,None,0.179458,None
"acte","",338,330,3.818777,4,"ceta",4,IFV,None,0.178928,None
"fin","",337,322,3.843318,3,"inf",3,IFV,None,0.178399,None
"impression","",334,189,4.376122,10,"sipmerno",8,IFV,None,0.176811,None
"orientation","",330,295,3.930894,11,"itrenao",7,IFV,None,0.174693,None
"habilitation","",328,312,3.874866,12,"hitnlaob",8,IFV,None,0.173635,None
"logiciel","",326,250,4.096409,8,"iceglo",6,IFV,None,0.172576,None
"port","",324,252,4.088440,4,"trop",4,IFV,None,0.171517,None
"environnement","",324,284,3.968895,13,"ivtnermo",8,IFV,None,0.171517,None
"varier","",324,323,3.840217,6,"ivrea",5,IFV,None,0.171517,None
"charger","",323,267,4.030621,7,"hcrega",6,IFV,None,0.170988,None
"impliquer","",323,279,3.986658,9,"ipmuelrq",8,IFV,None,0.170988,None
"donner","",321,299,3.917426,6,"dnero",5,IFV,None,0.169929,None
"méthode","methode",320,284,3.968895,7,"dhtmeo",6,IFV,None,0.169400,None
"comptabilité","comptabilite",316,292,3.941116,12,"citpmelaob",10,IFV,None,0.167282,None
"définir","definir",315,314,3.868477,7,"dinerf",6,IFV,None,0.166753,None
"comptable","",315,241,4.133073,9,"ctpmelaob",9,IFV,None,0.166753,None
"établissement","etablissement",315,226,4.197335,13,"sitmenlab",9,IFV,None,0.166753,None
"semaine","",308,302,3.907442,7,"simena",6,IFV,None,0.163047,None
"bac","",306,214,4.251893,3,"cab",3,IFV,None,0.161988,None
"agriculture","",303,255,4.076606,11,"citruegal",9,IFV,None,0.160400,None
"pêche","peche",302,246,4.112538,5,"cehp",4,IFV,None,0.159871,None
"étude","etude",302,263,4.045715,5,"duet",4,IFV,None,0.159871,None
"administratif","",300,253,4.084480,13,"dsitmnraf",9,IFV,None,0.158812,None
"animal","",299,167,4.499876,6,"inmla",5,IFV,None,0.158283,None
"caractéristique","caracteristique",298,292,3.941116,15,"scitreuaq",9,IFV,None,0.157753,None
"conducteur","",294,166,4.505882,10,"dctnuero",8,IFV,None,0.155636,None
"télécom","telecom",293,157,4.561624,7,"ctmelo",6,OFV,None,0.155106,None
"programmer","",293,260,4.057188,10,"prmegao",7,IFV,None,0.155106,None
"spécialiser","specialiser",291,270,4.019448,11,"sicprela",8,IFV,None,0.154048,None
"langue","",290,180,4.424913,6,"anuegl",6,IFV,None,0.153518,None
"prévention","prevention",290,198,4.329602,10,"ivtpreno",8,IFV,None,0.153518,None
"poser","",283,234,4.162548,5,"spreo",5,IFV,None,0.149813,None
"agroalimentaire","",282,221,4.219707,15,"itarmelgno",10,IFV,None,0.149283,None
"sylviculture","",278,240,4.137231,12,"sicvytruel",10,IFV,None,0.147166,None
"financier","",274,214,4.251893,9,"cineraf",7,IFV,None,0.145048,None
"bois","",273,184,4.402934,4,"iosb",4,IFV,None,0.144519,None
"électricité","electricite",272,238,4.145599,11,"citrel",6,IFV,None,0.143990,None
"humain","",271,238,4.145599,6,"himuna",6,IFV,None,0.143460,None
"contact","",270,268,4.026883,7,"ctnao",5,IFV,None,0.142931,None
"politique","",268,163,4.524119,9,"itpuelqo",8,IFV,None,0.141872,None
"rechercher","",267,174,4.458814,10,"rehc",4,IFV,None,0.141343,None
"génie","genie",267,231,4.175452,5,"ineg",4,IFV,None,0.141343,None
